,歌詞
0,どこからか漂う　美味しそうな匂い逃れらんないの一旦嗅いだら最後よくらくら蹌踉けちゃう　拐かす匂い秘密という名で評判のフレーバーよ秘すれば花ね本当噂通りで堪んない自分を誑し込んだ本体突き止めたいほらご覧隠したってみえみえ…嘘を乗せたトップノートああ近いようね初々しいバニラ　そう甘やかでしょとろとろ蕩けちゃう　抱え切れぬ恋秘密といういま流行のフレーバーの主に成り果てて噂立ったら堪んない自分を化かし通し首尾よく諦めたい眼は逸らしたってばればれ…悔いを残すラストノートああスパイシーねもどかしいシナモン　ほろ苦いのよ騙し騙され未来はどうなっちゃうの罰は受けるハッピーエンドをお願い頭まで微熱持ってめろめろ…ジゴロ憖そそらないで存在さえもう罪深いチョコレート　芳しいのよ厭だ厭だ見付かんないで誰にも…フェロモン遍く振り撒いて皆を誘き寄せないでいつも見張り続けて独り占めしたい
0,昼過ぎに珍しくテレビをちょっとだけ観たわ果物が煙草の害を少し防ぐと言うのそれですぐこの間のお店へ買いに急いだわ御出掛けになるのなら必ず召し上がってね貴方はきっと外では違う顔なのでしょう?だから此の手は其の疲れを癒す為だけに在るの今朝の様にお帰りが酷く遅い日も屡々明け方の孤独にはピアノで舞踏曲(ポロネーズ)を貴方はそっと指先で髪を撫でるでしょう?だからいま黒く揺蕩うまま伸ばす理由は只ひとつ処でこんな情景をどう思われますか?差し詰め勝手気儘な嘘を云いました態とらしい空の色も全部疎ましくてだから右手に強く握る光など既に見えない…「もう　何も要りません。」
0,是程多くの眼がバラバラに何かを探すとなりゃあ其れなり様々な言葉で各々の全てを見極めなくちゃあならない正しいとか　間違いとか　黒だとか　白だとか何処に行けば良いのですか君を信じて良いのですか愛してくれるのですかあたしは誰なのですか怖くて仕方が無いだけなのに…是迄多くの眼がちやほやとひたすらあたしを肯定した様々な合図でてきぱきと姿を見破られなくちゃあならない優れていて　劣っていて　数だとか　レヴェルとか此処に居れば良いのですか誰が真実なのですかお金が欲しいのですかあたしは誰なのですか何処に行けば良いのですか君を信じて良いのですか愛してくれるのですかあたしは誰なのですか此の先も現在(いま)も無いだけなのに…
0,"I wanna be loved by youJust you, and nobody else, but youI wanna be loved by you aloneI wanna be kissed by youJust you, and nobody else, but youI wanna be kissed by you aloneI couldn't aspireTo anything higherThan To fill the desireTo make you my own"
0,片付いた部屋が温かくて　曇り窓の外コントラスト独りで居るのに慣れないまま　ジャニスを聴いているセンチメンタル此の世で一番輝いている人は努力しているって教えてくれたねねえ　見ている？ほら　星が光っているのを明日は心も空も素敵な青堅苦しい言葉懐かしくて　貴方は小さなモンテスキュー本当の自分に正直で飾らないあたしで良いのだって教えてくれたねねえ　見ている？此の　星が光っているのを貴方の心の様な空を見ているねえ　云える？いま　星が光っている理由(わけ)貴方の心を映しているからだよ明日は心も空も素敵な青
0,何時もの交差点で彼は頬にキスするまた約束も無く今日が海の彼方に沈むヘッドフォンを耳に充(あ)てるアイルランドの少女が歌う夕暮れには切な過ぎる涙を誘い出しているの？振り返る通りを渡るひとに見蕩(みと)れるまた約束も無く彼がビルの彼方に消えるヘッドフォンを耳に充てるファズの利いたベースが走る夕焼けには切な過ぎる涙を誘い出しているの？今の二人には確かなものなど何も無い偶(たま)には怖がらず明日を迎えてみたいのにI PLACE THE HEADPHONES ON MY EARS AND LISTENSOMEONE SINGS A SONG. I FEEL SO BLUE NOW DARLIN' PROMISE MEPLEASE TELL ME SOMETHING WORDS TO SOOTHEI DON'T WANNA CRY
0,"It is neither dark here nor lightI see a faint soft white, white, whiteLacking all gradationCould such a source of light even exist？I'm alone, this I knowNo time flows, smell iron everywhereMay be close or far fromA crawling mass jagged and black, black, blackQualities are unclearSo will it be tangible when it's here？I'm alone, there's no doubtNo body, smell iron everywhere(There's no water or wind nofire or earth no water or fire no)With no light, no shadow fallsStill the two don't touch at allBoth conjoin in harmony, a perfect balance(And no hatred or greed nodeluded mind no remedy there's no)Seeing broadly without eyesIndependently comprisedYet conjoined in harmony, a perfect balanceI take in all of time, endless space, eternal embraceIdeation unbounded is all, there's nothing beyondI myself am the spring and have roughly everythingEternity endlessly is one, its boundaries are noneKnowing neither hunger nor thirstOmnipotent in perfect ease"
0,"Hey waitI think you feel what I sayI think they're calling for rainLook at the signs,Don't leave with an empty handI can't stand to thinkThat you'll be swept up againSo see, smell, touch, feel, listenI can't say enough,Just trust in yourself to knowWhen I see your eyesAnd the darkness drift insideYou always blame the airAnd the pressure building thereAnd always we forgetRemember how it used to beRemember life as freeAnd if your hands can't bear the load,Get wet and come back homeHey look, look and seeI think you hear what you needThe rain beats loud as can beWhere does it fallAnd where does it fall away?Hold on to your voice,The noise never leaves it aloneDon't let your senses go dryYou are your why,Just trust in yourself to knowWhen I see your eyesAnd the tears, the fire insideYou always blame the worldAnd the times we're living throughAnd always we neglectRemember how you played with fireRemember times beforeSo if you choose to fight for lifeStand up and say your nameSo with your pain, so with your nightSo deep you can't recallSo with your dreams, so with your lifeSo high they never fallGo out, go out and when the wildThe Rain has made it throughI'll come and meet you wherever you walkJust don't mistake where you are"
0,僕らが手にしている富は見えないよ彼らは奪えないし壊すこともない世界はただ妬むばっかりもしも彼らが君の何かを盗んだとしてそれはくだらないものだよ返して貰うまでもない筈何故なら価値は生命に従って付いている彼らが手にしている富は買えるんだ僕らは数えないし失くすこともない世界はまだ不幸だってさもしも君が彼らの言葉に嘆いたとしてそれはつまらないことだよなみだ流すまでもない筈何故ならいつも言葉は嘘を孕んでいる君の影が揺れている今日限り逢える日時計何時もの夏がすぐそこにある証君の喜ぶものはありあまるほどにあるすべて君のもの笑顔を見せてもしも彼らが君の何かを盗んだとしてそれはくだらないものだよ返して貰うまでもない筈何故なら価値は生命に従って付いているほらね君には富が溢れている
0,幼い頃から耳を澄ませば、ほんとうに小さな音も聴こえて来た。遠い雲が雨を手放す間に、木々の笑う声。時と言う時はそう音楽になり、欲しいものなどなかった。どれほど強く望もうとも、どれほど深く祈ろうとも、もう聴こえない。あなたの命を聴き取るため、代わりに失ったわたしのあの素晴らしき世界。GOODBYE。唯一の母親に、娘は漏れなく取って置きの魔法をかけられているのだ。青い海が陽射しを抱擁する様に、それは護られていく。出会すシーンはすべてハイライトで、みな、掛け替えのないキャストだった。どれほど強く悔やもうとも、どれほど深く嘆こうとも、帰れやしない。わたしは今やただの女。さよなら、あなた不在のかつての素晴らしき世界。GOODBYE。
